the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000040F96E52C0000000C09F624440,47360,0101000020110F0000551FDFCDA64F5FC13C05D94CDDFD5241,40.7705001831055,-73.7339630126953,Queens,NB,New Building,421584422,4171581,NB,6064,false,320,6/4/2019,5/31/2020 12:00,46-17,LITTLE NECK PARKWAY,411,W.JAKE CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,1,2
0101000020E610000000000060FB6F52C000000020A0624440,675028,0101000020110F0000F4AE66415D515FC1B37C81B8DDFD5241,40.7705116271973,-73.7497177124023,Queens,NB,New Building,421677885,4168716,NB,6065,false,4561,11/7/2019,7/31/2020 12:00,39-15,DOUGLASTON PARKWAY,411,DHC CONTRACTING INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000009C7A52C000000000A3624440,7000,0101000020110F0000A652C4826A635FC1678EE2F1E0FD5241,40.7705993652344,-73.915771484375,Queens,A1,ALT 1 Enlargement,401105175,4017373,A1,6066,true,534,3/25/2019,3/28/2020 12:00,24-50,33 STREET,401,ZOOM CONTRACTING INC,RESID. BLDG - OLD CODE,2,2
0101000020E6100000000000608C7452C000000000A3624440,730770,0101000020110F0000B66B6BEB1E595FC1678EE2F1E0FD5241,40.7705993652344,-73.8210678100586,Queens,A1,ALT 1 Enlargement,421734911,4108534,A1,6067,true,3580,10/22/2019,10/8/2020 12:00,146-18,BAYSIDE AVE,407,SAFETY PRO CONSTRUCTION,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000000467A52C000000060A4624440,59052,0101000020110F0000581D606ED8625FC161C6A17CE2FD5241,40.7706413269043,-73.9105224609375,Queens,NB,New Building,421604883,4441105,NB,6068,false,399,7/1/2019,6/30/2020 12:00,23-52,38 STREET,401,TONY & LORENZO MGMT CORP,UTILITY / MISCELLANEOUS,1,2
0101000020E610000000000000467A52C000000060A4624440,538005,0101000020110F0000581D606ED8625FC161C6A17CE2FD5241,40.7706413269043,-73.9105224609375,Queens,A1,ALT 1 Enlargement,421467344,4441105,A1,6069,true,2398,6/27/2019,6/26/2020 12:00,23-52,38 STREET,401,TONY & LORENZO MGMT CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E610000000000020F77A52C000000000A6624440,1500128,0101000020110F0000E0EBB84B05645FC17FC0264FE4FD5241,40.7706909179688,-73.9213333129883,Queens,NB,New Building,421203593,4622995,NB,6070,false,10136,10/22/2019,2/20/2020 12:00,27-04,ASTORIA BOULEVARD,401,B SOSA ENTERPRISES CORP,RESIDENTIAL: APARTMENT HOUSES,6,10
0101000020E6100000000000E05B7B52C000000040AA624440,8613600,0101000020110F00006A9E076EB0645FC1ECE14713E9FD5241,40.7708206176758,-73.9274826049805,Queens,NB,New Building,421365784,4617126,NB,6071,false,58200,10/15/2019,9/26/2020 12:00,28-16,21ST STREET,401,FALCON PACIFIC BUILDERS,RESIDENTIAL: APARTMENT HOUSES,7,50
0101000020E610000000000000107F52C0000000C0AF624440,70789140,0101000020110F0000C3D35FEAFA6A5FC16D7C463EEFFD5241,40.7709884643555,-73.9853515625,Manhattan,NB,New Building,120203751,1028830,NB,6072,false,478305,4/19/2019,2/21/2020 12:00,150,WEST 62 ST,107,IDEAL INTERIORS GROUP LLC,BUSINESS,23,218
0101000020E6100000000000604F7952C000000020B0624440,168000,0101000020110F00009FB2868335615FC1BE27EFA9EFFD5241,40.7709999084473,-73.8954696655273,Queens,A1,ALT 1 Enlargement,421364918,4020740,A1,6073,true,1054,7/15/2019,7/14/2020 12:00,20-15,74TH STREET,401,"T SQUARE CONTRACTING, LTD",RESIDENTIAL: APARTMENT HOUSES,3,3
0101000020E610000000000040EC7A52C0000000C0B0624440,2179152,0101000020110F00008275D1D2F2635FC1529D5D5DF0FD5241,40.7710189819336,-73.9206695556641,Queens,NB,New Building,420960339,4619947,NB,6074,false,14724,3/21/2019,12/17/2019 12:00,27-15,ASTORIA BLVD,401,SHINE CONSTRUCTION CORP,RESIDENTIAL: APARTMENT HOUSES,6,20
0101000020E6100000000000A0D86E52C000000060B3624440,1133088,0101000020110F00003BBC28636F4F5FC1CA7CFA4EF3FD5241,40.7710990905762,-73.7319717407227,Queens,NB,New Building,420255084,4613819,NB,6075,false,7656,4/5/2019,3/9/2020 12:00,254-04,WEST END DRIVE,411,SINGLA CONCEPTS INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
